Station;Culture_start;Assay_start;Original_sal;Treatment_sal;Replicate;Time;Active
SW08;2022-08-31;2023-04-11;12.2;0.1;1;2;1
SW08;2022-08-31;2023-04-11;12.2;0.1;1;2;0
SW08;2022-08-31;2023-04-11;12.2;0.1;1;2;0
SW08;2022-08-31;2023-04-11;12.2;0.1;1;2;0
SW08;2022-08-31;2023-04-11;12.2;0.1;1;2;0
SW08;2022-08-31;2023-04-11;12.2;0.1;2;2;1
SW08;2022-08-31;2023-04-11;12.2;0.1;2;2;1
SW08;2022-08-31;2023-04-11;12.2;0.1;2;2;0
SW08;2022-08-31;2023-04-11;12.2;0.1;2;2;0
SW08;2022-08-31;2023-04-11;12.2;0.1;2;2;0
SW08;2022-08-31;2023-04-11;12.2;0.1;3;2;1
SW08;2022-08-31;2023-04-11;12.2;0.1;3;2;1
SW08;2022-08-31;2023-04-11;12.2;0.1;3;2;0
SW08;2022-08-31;2023-04-11;12.2;0.1;3;2;0
SW08;2022-08-31;2023-04-11;12.2;0.1;3;2;0
SW08;2022-08-31;2023-04-11;12.2;1;1;2;1
SW08;2022-08-31;2023-04-11;12.2;1;1;2;1
SW08;2022-08-31;2023-04-11;12.2;1;1;2;0
SW08;2022-08-31;2023-04-11;12.2;1;1;2;0
SW08;2022-08-31;2023-04-11;12.2;1;1;2;0
SW08;2022-08-31;2023-04-11;12.2;1;2;2;1
SW08;2022-08-31;2023-04-11;12.2;1;2;2;1
SW08;2022-08-31;2023-04-11;12.2;1;2;2;1
SW08;2022-08-31;2023-04-11;12.2;1;2;2;0
SW08;2022-08-31;2023-04-11;12.2;1;2;2;0
SW08;2022-08-31;2023-04-11;12.2;1;3;2;1
SW08;2022-08-31;2023-04-11;12.2;1;3;2;0
SW08;2022-08-31;2023-04-11;12.2;1;3;2;0
SW08;2022-08-31;2023-04-11;12.2;1;3;2;0
SW08;2022-08-31;2023-04-11;12.2;1;3;2;0
SW08;2022-08-31;2023-04-11;12.2;2;1;2;1
SW08;2022-08-31;2023-04-11;12.2;2;1;2;1
SW08;2022-08-31;2023-04-11;12.2;2;1;2;1
SW08;2022-08-31;2023-04-11;12.2;2;1;2;1
SW08;2022-08-31;2023-04-11;12.2;2;1;2;1
SW08;2022-08-31;2023-04-11;12.2;2;2;2;1
SW08;2022-08-31;2023-04-11;12.2;2;2;2;1
SW08;2022-08-31;2023-04-11;12.2;2;2;2;1
